,City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
117,guane,22.2025,-84.0875,27.15,54.0,52.0,1.71
120,krasnyy kut,50.95,46.9667,5.65,70.0,100.0,3.24
121,baghdad,33.3406,44.4009,20.0,42.0,0.0,1.54
122,aykhal,66.0,111.5,-6.7,92.0,92.0,2.81
123,castro,-24.7911,-50.0119,13.15,75.0,0.0,1.02
124,tuatapere,-46.1333,167.6833,10.02,77.0,96.0,2.13
125,ribeira grande,38.5167,-28.7,15.91,80.0,95.0,5.58
127,geraldton,-28.7667,114.6,17.0,67.0,13.0,1.54
129,orlik,52.5178,99.825,-1.53,84.0,95.0,1.22
131,gandajika,-6.75,23.95,19.82,93.0,65.0,1.6
132,chuy,-33.6971,-53.4616,12.22,79.0,0.0,2.88
133,slave lake,55.2834,-114.769,-5.0,93.0,90.0,3.6
134,olga,43.7444,135.2892,7.09,89.0,100.0,2.52
135,kavieng,-2.5744,150.7967,28.79,70.0,50.0,3.31
136,serebryanyy bor,56.8,124.8,-6.57,89.0,100.0,4.28
137,chau doc,10.7,105.1167,26.86,81.0,99.0,3.31
140,samana,19.2056,-69.3369,25.0,83.0,75.0,2.57
142,jitauna,-14.0189,-39.8889,19.51,94.0,30.0,0.66
143,nanortalik,60.1432,-45.2371,1.25,88.0,6.0,3.33
144,namatanai,-3.6667,152.4333,29.31,70.0,30.0,3.57
146,grindavik,63.8424,-22.4338,6.0,100.0,90.0,2.06
147,barrow,71.2906,-156.7887,-7.0,86.0,90.0,3.6
148,seminole,28.7086,-81.2081,23.02,60.0,40.0,4.63
152,nelson bay,-32.7167,152.15,20.19,77.0,40.0,1.54
153,fallon,39.4735,-118.7774,13.17,30.0,40.0,9.26
156,caravelas,-17.7125,-39.2481,23.77,78.0,53.0,2.92
157,pisco,-13.7,-76.2167,18.71,88.0,0.0,4.12
159,laguna,38.421,-121.4238,25.59,15.0,1.0,5.66
164,general roca,-39.0333,-67.5833,14.0,94.0,0.0,0.79
165,biskamzha,53.4497,89.5272,3.55,99.0,100.0,0.51
166,kamogawa,35.1,140.1,19.0,68.0,75.0,7.72
167,nhulunbuy,-12.2333,136.7667,27.0,89.0,75.0,5.66
168,sao joao da barra,-21.6403,-41.0511,21.81,95.0,77.0,3.19
169,ericeira,38.9627,-9.4156,13.7,91.0,36.0,1.34
170,sorong,-0.8833,131.25,27.18,81.0,80.0,2.47
171,vestmannaeyjar,63.4427,-20.2734,6.61,78.0,11.0,9.13
172,balaipungut,1.05,101.2833,25.0,94.0,20.0,0.75
173,darhan,49.4867,105.9228,3.59,63.0,62.0,1.52
175,zhengjiatun,43.5064,123.5064,11.5,24.0,49.0,8.39
177,roswell,34.0232,-84.3616,23.81,56.0,1.0,2.06
183,qaanaaq,77.484,-69.3632,2.44,95.0,100.0,0.36
184,sobolevo,54.4299,31.8996,1.36,98.0,99.0,3.3
185,pangnirtung,66.1451,-65.7125,-8.59,92.0,64.0,2.38
186,bereda,43.2686,-7.5406,9.81,98.0,99.0,3.13
188,cabo san lucas,22.8909,-109.9124,22.39,52.0,1.0,8.23
189,mafeteng,-29.823,27.2374,10.31,54.0,57.0,0.76
191,lagoa,39.05,-27.9833,15.31,80.0,100.0,5.6
192,acapulco,16.8634,-99.8901,28.0,78.0,1.0,3.09
195,rongcheng,30.634,117.8517,19.09,82.0,51.0,1.12
196,rabaul,-4.1967,152.1721,28.11,70.0,43.0,1.07
200,saquena,-4.6667,-73.5167,22.72,98.0,100.0,0.95
201,phalombe,-15.8064,35.6507,18.34,95.0,7.0,0.85
208,esperance,-33.8667,121.9,16.0,100.0,40.0,1.54
211,kalemie,-5.9475,29.1947,21.0,89.0,80.0,0.35
214,lompoc,34.6391,-120.4579,12.43,63.0,0.0,7.2
216,baracoa,20.3467,-74.4958,24.56,80.0,19.0,3.92
217,chokurdakh,70.6333,147.9167,-2.37,91.0,100.0,1.54
218,kloulklubed,7.0419,134.2556,28.0,83.0,75.0,1.54
219,mar del plata,-38.0023,-57.5575,15.45,82.0,0.0,1.54
220,bambous virieux,-20.3428,57.7575,24.47,94.0,75.0,4.63
221,hobyo,5.3505,48.5268,28.64,73.0,20.0,4.84
223,huarmey,-10.0681,-78.1522,20.11,85.0,89.0,4.33
225,severo-yeniseyskiy,60.3725,93.0408,0.75,85.0,100.0,1.94
226,khorixas,-20.3667,14.9667,20.01,48.0,10.0,1.22
228,numan,9.4667,12.0333,29.91,37.0,70.0,1.81
231,carnarvon,-24.8667,113.6333,21.0,56.0,0.0,3.09
235,poya,-21.35,165.15,24.42,51.0,14.0,5.37
238,touros,-5.1989,-35.4608,26.0,83.0,40.0,1.54
241,douentza,14.9951,-2.9517,32.86,20.0,45.0,3.51
249,los llanos de aridane,28.6585,-17.9182,18.0,68.0,0.0,3.09
250,hervey bay,-25.2986,152.8535,21.67,76.0,13.0,2.68
252,ossora,59.2353,163.0719,-0.73,63.0,100.0,2.39
253,port hardy,50.6996,-127.4199,9.0,100.0,90.0,3.6
254,constanza,47.6603,9.1758,6.92,75.0,12.0,1.03
256,verkhnyaya inta,65.9811,60.3094,-2.55,96.0,100.0,2.38
257,chake chake,-5.2459,39.7666,24.44,90.0,49.0,1.69
260,boali,4.8005,18.1275,27.0,61.0,0.0,0.88
261,camacha,33.0833,-16.3333,17.0,82.0,40.0,1.54
263,thompson,55.7435,-97.8558,-4.0,46.0,75.0,6.69
264,necochea,-38.5473,-58.7368,14.44,85.0,1.0,3.13
265,acari,-15.4311,-74.6158,21.25,78.0,85.0,1.58
267,mushie,-3.0167,16.9,23.16,91.0,74.0,1.31
268,makakilo city,21.3469,-158.0858,27.41,57.0,20.0,6.17
271,peresichna,50.0241,35.9826,3.94,87.0,0.0,2.0
272,alofi,-19.0595,-169.9187,29.0,79.0,75.0,5.66
275,nyurba,63.2842,118.3319,-4.23,70.0,27.0,1.32
277,svetlogorsk,52.6333,29.7333,-0.48,94.0,34.0,2.7
278,magway,20.15,94.9167,28.21,67.0,22.0,3.37
279,sao filipe,14.8961,-24.4956,22.51,76.0,14.0,4.76
280,college,64.8569,-147.8028,8.57,19.0,75.0,3.09
281,saint george,37.1041,-113.5841,17.92,36.0,75.0,1.54
286,bluff,-46.6,168.3333,11.03,82.0,100.0,6.78
288,goderich,43.7501,-81.7165,17.0,63.0,100.0,1.03
289,sept-iles,50.2001,-66.3821,7.12,76.0,75.0,3.09
290,chhatak,25.0333,91.6667,25.34,64.0,6.0,2.07
293,tucurui,-3.7661,-49.6725,23.88,92.0,93.0,0.59
294,nong chik,6.8436,101.178,25.28,86.0,100.0,2.44
295,rocha,-34.4833,-54.3333,10.99,87.0,0.0,1.91
296,cidreira,-30.1811,-50.2056,15.46,74.0,1.0,3.8
297,phalaborwa,-23.943,31.1411,21.0,52.0,0.0,1.54
298,ushuaia,-54.8,-68.3,6.0,93.0,75.0,5.14
299,khatanga,71.9667,102.5,-4.09,83.0,99.0,3.41
302,kaseda,31.4167,130.3167,15.72,94.0,90.0,1.03
306,chimore,-16.9833,-65.1333,21.2,74.0,58.0,0.86
310,kieta,-6.2167,155.6333,29.97,64.0,50.0,0.55
311,havre,49.5833,0.3333,4.0,87.0,5.0,1.03
313,buchanan,5.8808,-10.0467,23.0,94.0,75.0,2.57
316,port lincoln,-34.7333,135.8667,18.82,53.0,91.0,1.32
318,aktash,50.3,87.7333,-0.06,89.0,100.0,1.99
320,haines junction,60.7522,-137.5108,3.0,25.0,26.0,3.6
323,farsund,58.0948,6.8047,4.44,82.0,84.0,1.67
327,clyde river,70.4692,-68.5914,-6.0,73.0,1.0,3.6
328,yar-sale,66.8333,70.8333,-0.84,93.0,100.0,0.31
332,liverpool,53.4106,-2.9779,7.26,93.0,90.0,7.72
334,angoche,-16.2325,39.9086,24.59,88.0,28.0,0.89
335,saldanha,-33.0117,17.9442,13.0,88.0,97.0,2.57
336,lasa,46.6166,10.7002,6.26,87.0,75.0,4.12
340,srednekolymsk,67.45,153.6833,-1.34,80.0,50.0,2.52
341,asbe teferi,9.0833,40.8667,17.18,81.0,84.0,1.54
342,oranjemund,-28.55,16.4333,14.44,95.0,75.0,2.91
348,gashua,12.871,11.0482,30.09,12.0,53.0,4.94
356,pemangkat,1.1667,108.9667,23.9,93.0,100.0,3.37
358,grafing,48.0503,11.9661,4.44,85.0,13.0,0.92
359,iquique,-20.2208,-70.1431,21.0,52.0,0.0,3.09
361,northam,51.0333,-4.2167,7.61,86.0,100.0,1.79
362,mweka,-4.85,21.5667,20.56,96.0,78.0,1.08
363,butaritari,3.0707,172.7902,28.11,76.0,76.0,3.83
365,tura,25.5198,90.2201,24.46,57.0,57.0,2.55
366,mwinilunga,-11.7358,24.4293,15.62,92.0,42.0,1.1
368,qom,34.6401,50.8764,22.12,37.0,73.0,0.53
370,oistins,13.0667,-59.5333,26.0,65.0,40.0,5.14
374,hurghada,27.2574,33.8129,23.0,23.0,0.0,4.12
375,along,28.1667,94.7667,21.09,72.0,98.0,1.18
377,yumen,40.2833,97.2,10.05,20.0,81.0,6.23
378,mount isa,-20.7333,139.5,27.0,29.0,0.0,7.72
383,carlsbad,33.1581,-117.3506,16.29,55.0,20.0,2.57
385,jumla,29.2747,82.1838,8.28,62.0,78.0,2.35
387,aran,40.6253,46.9756,12.39,88.0,75.0,2.06
391,oleksandrivka,48.9634,32.2349,1.69,83.0,17.0,1.87
392,saint-augustin,51.226,-58.6502,2.5,99.0,100.0,0.98
396,nova olimpia,-14.7972,-57.2881,22.96,75.0,31.0,1.97
397,havre-saint-pierre,50.2334,-63.5986,5.0,93.0,90.0,2.06
398,iquitos,-3.7481,-73.2472,25.0,94.0,75.0,1.03
400,abbeville,50.1,1.8333,6.38,82.0,11.0,2.14
401,bubaque,11.2833,-15.8333,25.97,67.0,35.0,8.51
404,craigieburn,-37.6,144.95,14.35,72.0,20.0,2.06
405,usinsk,65.9939,57.5281,-2.22,88.0,98.0,3.98
406,norman wells,65.282,-126.8329,-1.0,31.0,75.0,5.66
408,padang,-0.9492,100.3543,25.0,94.0,40.0,1.03
410,mangan,27.5167,88.5333,20.43,52.0,49.0,2.47
411,marsh harbour,26.5412,-77.0636,23.14,64.0,52.0,8.22
414,rafsanjan,30.4067,55.9939,21.01,29.0,93.0,3.24
415,timra,62.487,17.3257,-0.32,93.0,20.0,1.03
418,kruisfontein,-34.0033,24.7314,12.22,91.0,71.0,0.89
420,whitehorse,60.7161,-135.0538,0.37,47.0,75.0,5.66
421,severo-kurilsk,50.6789,156.125,1.02,96.0,100.0,8.0
424,verkhoturye,58.8627,60.8054,2.33,89.0,100.0,1.86
427,taltal,-25.4,-70.4833,16.76,82.0,29.0,0.67
428,morant bay,17.8815,-76.4093,27.05,58.0,20.0,5.66
430,upata,8.0086,-62.3989,28.89,71.0,99.0,1.79
431,tynset,62.2759,10.7824,-4.0,80.0,75.0,2.06
432,naze,28.3667,129.4833,22.0,64.0,75.0,4.63
438,leshan,29.5623,103.7639,15.8,93.0,100.0,2.52
444,kununurra,-15.7667,128.7333,29.0,79.0,40.0,1.54
449,quatre cocos,-20.2078,57.7625,24.52,94.0,75.0,4.63
455,moerai,-22.4333,-151.3333,25.72,70.0,79.0,3.3
456,nueva imperial,-38.7333,-72.95,14.0,100.0,90.0,0.51
458,rtishchevo,52.2604,43.7874,0.82,86.0,50.0,4.08
459,bengkulu,-3.8004,102.2655,24.79,86.0,51.0,1.51
465,port hedland,-20.3167,118.5667,26.0,24.0,3.0,3.6
467,shimoda,34.6667,138.95,17.3,72.0,75.0,6.17
471,belem de sao francisco,-8.7539,-38.9658,26.38,60.0,56.0,6.82
474,madang,-5.2246,145.7966,29.06,69.0,28.0,1.71
475,forbes,-33.3833,148.0167,17.6,49.0,100.0,1.0
477,reconquista,-29.15,-59.65,14.57,70.0,0.0,1.86
478,salalah,17.0151,54.0924,28.0,74.0,0.0,2.06
487,zaraza,9.3503,-65.3245,27.14,68.0,100.0,3.89
488,fortuna,40.5982,-124.1573,15.85,67.0,1.0,4.63
489,vila franca do campo,37.7167,-25.4333,15.0,82.0,75.0,5.66
491,henties bay,-22.116,14.2845,15.56,90.0,0.0,2.24
492,coihaique,-45.5752,-72.0662,9.0,76.0,75.0,2.06
493,navahrudak,53.6,25.8333,1.56,91.0,100.0,2.9
497,saint-joseph,-21.3667,55.6167,21.67,78.0,90.0,3.09
498,fort saint james,54.4333,-124.25,6.67,68.0,100.0,4.32
499,warrnambool,-38.3833,142.4833,13.89,80.0,52.0,1.79
500,trairi,-3.2778,-39.2689,25.3,82.0,53.0,3.02
501,linxia,35.6003,103.2064,3.23,74.0,31.0,0.77
504,chumikan,54.7183,135.315,-0.2,96.0,100.0,6.72
505,poronaysk,49.2167,143.1167,3.6,63.0,82.0,4.21
506,nome,64.5011,-165.4064,4.7,52.0,1.0,1.54
508,brasilia,-15.7797,-47.9297,20.01,83.0,0.0,1.03
509,alihe,50.5667,123.7167,6.05,44.0,64.0,1.74
510,phetchaburi,12.9667,99.5833,27.22,99.0,95.0,1.14
514,alyangula,-13.8483,136.4192,28.0,100.0,90.0,3.09
515,la ronge,55.1001,-105.2842,-4.0,36.0,90.0,6.17
519,viedma,-40.8135,-62.9967,19.0,55.0,9.0,4.32
521,banda aceh,5.5577,95.3222,26.52,79.0,97.0,2.0
523,east london,-33.0153,27.9116,18.21,72.0,81.0,4.92
525,dharur,18.8167,76.1167,27.51,27.0,39.0,3.07
530,juybar,36.6412,52.9124,14.38,91.0,86.0,1.55
531,novikovo,51.1537,37.8879,2.85,69.0,100.0,2.49
532,kovdor,67.5662,30.4758,-7.99,96.0,59.0,0.92
538,mbandaka,0.0487,18.2603,22.26,94.0,100.0,1.25
539,takoradi,4.8845,-1.7554,27.71,85.0,84.0,4.08
542,alice springs,-23.7,133.8833,17.0,36.0,0.0,3.09
544,omboue,-1.5746,9.2618,26.52,88.0,100.0,1.36
545,quepos,9.4236,-84.1652,21.4,64.0,40.0,6.69
546,nemuro,43.3236,145.575,13.0,44.0,40.0,3.09
548,san juan de uraba,8.7592,-76.5297,26.17,83.0,100.0,6.2
552,cayenne,4.9333,-52.3333,23.52,94.0,0.0,2.59
559,bonavista,48.6499,-53.1147,2.91,93.0,100.0,3.09
560,danielskuil,-28.1887,23.5395,13.09,42.0,20.0,0.53
561,atar,20.5169,-13.0499,27.85,23.0,84.0,2.09
567,hailar,49.2,119.7,-1.02,90.0,100.0,8.52
569,coquimbo,-29.9533,-71.3436,14.0,88.0,0.0,2.57
571,san rafael,-34.6177,-68.3301,18.7,52.0,0.0,4.38
572,bathsheba,13.2167,-59.5167,26.0,65.0,40.0,5.14
573,ponta delgada,37.7333,-25.6667,15.0,82.0,75.0,5.66
574,havoysund,70.9963,24.6622,-2.0,74.0,75.0,4.12
575,ancud,-41.8697,-73.8203,11.28,94.0,40.0,3.6
577,puerto rondon,6.2805,-71.1,24.1,89.0,100.0,2.77
579,bichura,50.5881,107.6022,1.38,56.0,58.0,4.47
580,tailai,46.3833,123.4,9.55,27.0,47.0,6.81
581,castelldefels,41.2779,1.9703,13.58,88.0,20.0,1.51
582,port elizabeth,-33.918,25.5701,16.0,88.0,75.0,3.6
583,ponta do sol,32.6667,-17.1,12.56,82.0,100.0,0.89
586,merauke,-8.4667,140.3333,27.62,78.0,49.0,1.28
589,airai,-8.9266,125.4092,19.81,42.0,31.0,0.76
593,puerto baquerizo moreno,-0.9,-89.6,24.42,85.0,22.0,4.63
595,plettenberg bay,-34.0527,23.3716,15.45,84.0,99.0,0.16
596,mithi,24.7318,69.7981,24.67,75.0,2.0,4.46
598,anloga,5.7947,0.8973,28.0,89.0,20.0,2.06
600,peniche,39.3558,-9.3811,13.73,86.0,29.0,2.68
601,high rock,26.6208,-78.2833,23.0,68.0,40.0,4.12
603,san lawrenz,36.0553,14.204,15.73,94.0,0.0,3.09
604,larsnes,62.2028,5.5773,2.76,79.0,23.0,4.02
605,general bravo,25.8,-99.1667,33.07,44.0,97.0,9.55
610,bayan,46.0833,127.4,12.37,23.0,69.0,5.67
613,douglas,41.3,-96.167,16.88,63.0,1.0,5.66
618,vila velha,-20.3297,-40.2925,25.0,83.0,90.0,2.57
625,berezovyy,51.6667,135.7,7.73,70.0,100.0,2.9
627,pandan,14.0453,124.1694,27.21,64.0,100.0,3.39
631,barabinsk,55.3571,78.357,7.45,98.0,100.0,4.46
632,campo verde,-20.4167,-54.0667,19.0,59.0,0.0,3.09
636,sovetskiy,61.3614,63.5842,0.16,85.0,4.0,1.64
638,kasempa,-13.4584,25.8338,17.77,90.0,95.0,1.48
639,rudnogorsk,57.2639,103.7519,-3.01,70.0,20.0,1.51
642,rognan,67.0953,15.3878,-0.73,91.0,97.0,0.7
643,huambo,-12.7761,15.7392,17.77,65.0,99.0,1.11
644,puerto narino,-3.7703,-70.3831,25.0,100.0,75.0,0.29
647,krasnoyarskiy,51.965,59.8967,4.76,86.0,64.0,3.46
649,mackay,-21.15,149.2,22.91,73.0,75.0,5.66
650,victoria,22.2855,114.1577,23.44,88.0,98.0,2.9
653,kremenki,54.885,37.1261,1.38,86.0,93.0,2.0
655,zhigansk,66.7697,123.3711,-9.39,84.0,18.0,2.22
656,shizilu,35.1711,118.8289,15.18,49.0,100.0,3.01
658,skibbereen,51.55,-9.2667,7.0,81.0,40.0,5.66
662,kristianstad,56.0313,14.1524,-0.46,86.0,20.0,1.1
664,nuuk,64.1835,-51.7216,0.78,93.0,19.0,6.17
666,trelleborg,55.3751,13.1569,1.13,93.0,0.0,2.06
668,maine-soroa,13.2114,12.0241,29.71,12.0,77.0,4.7
669,jesus del monte,19.1081,-99.9944,24.0,23.0,75.0,5.14
671,knysna,-34.0363,23.0471,14.0,100.0,90.0,1.03
673,sibolga,1.7427,98.7792,24.61,86.0,100.0,1.16
674,riyadh,24.6877,46.7219,28.63,20.0,40.0,6.17
678,chkalovskoye,44.8392,133.0436,9.69,88.0,100.0,5.38
679,bay roberts,47.5999,-53.2648,6.07,85.0,100.0,0.45
680,jiexiu,37.0244,111.9125,12.13,19.0,21.0,4.35
684,bartica,6.4,-58.6167,25.0,94.0,75.0,2.06
685,portales,34.1862,-103.3344,24.02,9.0,20.0,10.29
687,yelizovo,53.1873,158.3805,6.0,87.0,40.0,5.0
688,birjand,32.8663,59.2211,19.0,27.0,40.0,4.12
690,lluta,-16.0147,-72.0142,13.0,33.0,0.0,2.06
695,filadelfia,39.9523,-75.1638,20.98,46.0,75.0,2.06
696,belaya gora,68.5333,146.4167,-2.11,92.0,100.0,0.54
697,nago,26.5881,127.9761,22.56,68.0,20.0,5.66
703,pahrump,36.2083,-115.9839,18.89,22.0,98.0,0.89
710,ankazoabo,-22.2833,44.5167,19.83,83.0,0.0,1.47
711,benoy,8.9833,16.3199,27.73,55.0,84.0,3.29
713,correntina,-13.3433,-44.6367,23.31,75.0,88.0,0.92
725,krasne,49.9145,24.6134,2.89,56.0,0.0,3.0
727,wani,20.0667,78.95,30.72,19.0,69.0,2.39
731,kudahuvadhoo,2.6708,72.8944,27.7,75.0,85.0,2.64
733,walvis bay,-22.9575,14.5053,14.73,88.0,0.0,3.09
738,carballo,43.213,-8.691,10.86,86.0,97.0,1.34
741,tabou,4.423,-7.3528,26.28,87.0,92.0,2.37
745,clifton,40.8584,-74.1638,15.0,47.0,1.0,2.1
746,coahuayana,18.7333,-103.6833,28.0,51.0,40.0,5.14
750,kinsale,51.7075,-8.5306,6.84,81.0,40.0,5.66
756,tezu,27.9167,96.1667,25.57,33.0,87.0,1.11
760,praia da vitoria,38.7333,-27.0667,15.0,88.0,75.0,4.39
762,terekli-mekteb,44.1671,45.8698,10.06,73.0,64.0,2.39
765,peterhead,57.5058,-1.7981,5.18,93.0,75.0,1.54
768,nguru,12.8791,10.4526,30.29,12.0,25.0,4.87
769,wanning,18.8003,110.3967,25.07,87.0,53.0,1.11
773,pembroke,45.8168,-77.1162,11.0,46.0,90.0,1.04
774,booue,-0.0921,11.9385,23.92,96.0,100.0,0.92
777,hambantota,6.1241,81.1185,25.0,100.0,20.0,1.03
781,kijang,35.2442,129.2139,20.0,49.0,0.0,1.54
783,anjad,22.0333,75.05,28.55,35.0,17.0,2.46
784,urumqi,43.801,87.6005,14.0,33.0,0.0,1.0
786,bredasdorp,-34.5322,20.0403,9.0,93.0,100.0,0.47
788,aviles,43.5547,-5.9248,12.76,87.0,90.0,1.54
790,teguldet,57.3064,88.1667,3.66,92.0,65.0,1.42
791,kipini,-2.5257,40.5262,27.05,80.0,79.0,5.4
795,stephenville,32.2207,-98.2023,23.19,83.0,90.0,5.66
796,asfi,32.2994,-9.2372,17.07,84.0,19.0,1.53
798,rawson,-43.3002,-65.1023,19.14,37.0,90.0,4.73
803,lakes entrance,-37.8811,147.981,16.67,73.0,92.0,0.45
810,dikson,73.5069,80.5464,-0.06,97.0,100.0,7.87
812,kiunga,-6.1219,141.2906,27.61,79.0,99.0,1.33
814,aklavik,68.2191,-135.0107,-1.48,34.0,2.0,2.57
817,krasnystaw,50.9846,23.1742,-1.06,80.0,0.0,0.51
818,vanimo,-2.6741,141.3028,28.95,71.0,17.0,0.92
820,malinovoye ozero,51.6753,79.7825,16.45,33.0,97.0,5.97
825,tuyen quang,21.8233,105.2181,21.59,94.0,100.0,0.84
829,hamilton,39.1834,-84.5333,23.87,41.0,1.0,3.6
832,tuktoyaktuk,69.4541,-133.0374,-8.0,67.0,20.0,4.12
833,port blair,11.6667,92.75,27.15,71.0,72.0,1.98
838,mogadishu,2.0371,45.3438,28.25,76.0,70.0,4.85
840,lahij,13.1667,44.5833,25.44,79.0,54.0,3.56
843,marawi,7.9986,124.2928,27.78,77.0,27.0,1.34
